,frame,x,y,limb
0,0,0.24102464026864548,0.46620682743308817,left_hand
1,0,0.6606827257623283,0.6119257981042714,right_foot
2,161,0.6352985426036619,0.6215586296127088,left_foot
3,230,0.40163623130807485,0.4068348089507177,right_hand
4,330,0.6497320622121059,0.4718299728079655,right_foot
5,357,0.6881739081568155,0.5686195334314589,left_foot
6,379,0.2590221881254027,0.4219799505590885,right_hand
7,489,0.6728488537336688,0.4054067138084297,right_foot
8,571,0.6703650655127364,0.4031288047436026,left_foot
9,713,0.2714422775184497,0.48855400508274016,left_foot
10,726,0.22502944967596605,0.37505106045990916,left_hand
11,803,0.37993142188489565,0.3559108007951088,left_hand
12,829,0.6535049963690377,0.28010601511481303,right_hand
13,889,0.6481832716644711,0.2817281426328628,left_hand
14,928,0.6778863037341897,0.35107642056262095,right_foot
15,1111,0.6402639238194272,-0.001289292114554599,right_hand
