,frame,x,y,limb
0,10,0.6446915108457785,0.7710750938196094,right_hand
1,56,0.6185948277213894,0.7745382445553451,left_foot
2,92,0.6132662689757528,0.9304433342103181,left_foot
3,94,0.6179314332910248,0.7848710677403511,right_foot
4,112,0.5083261722748765,0.5245138687931568,right_hand
5,219,0.5540450373204944,0.6614959015188503,right_foot
6,254,0.5155676001218403,0.5708416418315023,left_hand
7,296,0.5413676474605332,0.677391454251739,left_foot
8,394,0.38534727559435594,0.36048617483587075,left_hand
9,445,0.4023557832937397,0.593531608623111,left_foot
10,727,0.5077366448527298,0.49107181405200706,right_foot
11,856,0.49286284967166427,0.3208173038037023,right_hand
12,1036,0.43303747534477505,0.19503406785143598,right_hand
13,1260,0.32493666421323025,0.21456509877042723,left_hand
14,1444,0.48946569293107317,0.41381414025218005,right_foot
15,1698,0.3760566900630164,0.05476679737278856,left_hand
16,1747,0.37889774722942104,0.2921049024060416,left_foot
17,1841,0.4789780498977531,0.3309342538847945,right_foot
