,frame,x,y,limb
0,151,0.5123567579063705,0.7466827695227498,left_foot
1,168,0.45716039455601115,0.37396988509473594,right_hand
2,189,0.358255307267222,0.5885822519613507,left_hand
3,191,0.5223359216227675,0.7404677213277354,right_foot
4,282,0.4533617327432302,0.3673277053484075,left_hand
5,369,0.602022290652956,0.42776085079102555,right_hand
6,531,0.6691796847644533,0.6025143067124374,right_foot
7,719,0.6076494838313168,0.32915317794490956,right_hand
8,791,0.6061054800434142,0.30050960674377153,left_hand
9,958,0.5182530689215348,0.5853800336779881,left_foot
10,1127,0.6099488280411847,0.2189029856416243,left_hand
11,1446,0.6140704126486057,0.20943213969493657,right_hand
12,1658,0.6729587261248867,0.6122221942744303,left_foot
13,1942,0.5086255634569957,0.39260684706207144,left_hand
14,2084,0.5753715542485616,0.6732422346834789,left_foot
15,2241,0.7327219392856472,0.4754372079740748,right_foot
16,2739,0.6205729384420836,0.3854486673821305,left_foot
17,2828,0.7414351926279383,0.13247931681280806,right_hand
18,2946,0.7197241892374541,0.47077166031581213,left_foot
