,frame,x,y,limb
0,6,0.6548091705300167,0.9887895185719828,left_foot
1,40,0.6495937299366202,0.769893533397131,right_hand
2,45,0.66723094196772,0.99593904906844,right_foot
3,47,0.6427701082231367,0.7749325401766483,left_hand
4,128,0.7279677321701981,0.8547191123791944,right_foot
5,229,0.688870435007812,0.5599711918643382,right_hand
6,332,0.6979561785910345,0.8501141367061703,left_foot
7,515,0.6886392361489122,0.5381191723456521,left_hand
8,563,0.852799496582737,0.5269108689742241,right_hand
9,730,0.7209811056503939,0.7045657806105515,left_foot
10,1231,0.6884925163002924,0.91385631172094,left_hand
11,1302,0.6514248666395861,1.0635375988952671,left_foot
12,1304,0.6757012426401895,1.0560574428649934,right_foot
