,frame,x,y,limb
0,0,0.6108620964623042,0.4419374030644393,left_hand
1,0,0.6341941077821373,0.4408641458531261,right_hand
2,0,0.6080054991789758,0.7444111711906133,left_foot
3,0,0.7090847601345267,0.7003071441921654,right_foot
4,290,0.7676584149887897,0.3353511604510218,right_hand
5,383,0.7969374894480903,0.5097799083423334,left_foot
6,426,0.8139882012707543,0.5007592581575538,right_foot
7,464,0.7530883788849494,0.3282089113712974,left_hand
8,623,0.840079524201035,0.09419890134922981,right_hand
9,652,0.8294262896787501,0.4755405301563223,left_foot
10,711,0.8986011545652354,0.37229650508866435,right_foot
