,frame,x,y,limb
0,9,0.25327602385326364,0.6218761196444356,left_hand
1,9,0.5909900183357365,0.6358383967442875,right_hand
2,9,0.20989793817252922,0.7323306559095708,left_foot
3,10,0.6121605873548625,0.7087470852423773,right_foot
4,662,0.45325558575741537,0.4481915980538116,right_hand
5,1805,0.24132480341562873,0.6696707046158037,left_foot
6,1874,0.19957370978354128,0.5166859145818026,left_hand
7,2070,0.3325427880087476,0.7110739845751142,left_foot
8,2072,0.2751459167712228,0.537529758929082,left_hand
9,2474,0.5945451906012703,0.6122391253649174,left_hand
10,2717,0.40346676066179177,0.38985110274446516,left_hand
