,frame,x,y,limb
0,0,0.5034935611723627,0.7300221503341756,left_hand
1,0,0.6119401017047398,0.7065362234769647,right_hand
2,54,0.6088600847382821,0.8609075994224286,left_foot
3,54,0.5424571084343756,1.059363240840427,right_foot
4,210,0.6192339208781056,0.8300355460048983,right_foot
5,311,0.617791000773238,0.49484083982320326,left_hand
6,450,0.7405959125180211,0.5095075262809615,right_hand
7,763,0.7675995464957485,0.6997783583625158,right_foot
8,893,0.7415918898863846,0.4182741048209564,left_hand
9,924,0.7648593262035804,0.6792523938924345,left_foot
10,947,0.7846489399153055,0.6509832520103219,right_foot
11,1016,0.7559691983194861,0.33935398885783885,right_hand
