,frame,x,y,limb
0,20,0.6536199774938343,0.7121628045693275,left_hand
1,20,0.6094189342953884,0.8701940007736613,left_foot
2,20,0.6986085201626722,0.9554518328065981,right_foot
3,90,0.6125985684368794,0.6522722941215923,left_hand
4,144,0.6148912198840212,0.8629478737227756,right_foot
5,175,0.5773926385886754,0.7850960449893756,left_foot
6,287,0.5836813168357352,0.47876404047236953,right_hand
7,320,0.5714596081345121,0.5842906607286398,left_hand
8,344,0.6763895025541988,0.7182077503616524,right_foot
9,474,0.45494034062716765,0.46532795440409913,left_hand
10,735,0.393425815961005,0.6421550578882105,left_foot
11,735,0.43989667174365243,0.6510545003779191,right_foot
12,739,0.4479775121595422,0.44163002495029074,right_hand
13,932,0.45330775697922604,0.6396233498717173,left_foot
14,951,0.5602937162373919,0.46432322054695413,right_foot
15,1042,0.46169761827780226,0.26051195377671094,right_hand
