,frame,x,y,limb
0,38,0.12911175575393066,0.7768231883756094,left_hand
1,38,0.2836982309860502,0.786687283010862,right_hand
2,38,0.20403550030313372,0.9489943883398811,right_foot
3,150,0.2086408116291661,0.7372309792453189,left_foot
4,168,0.2506924433732431,0.42254778799081816,right_hand
5,170,0.21945645998332175,0.4199820321117491,left_hand
6,170,0.21512065738953642,0.7350636355135538,right_foot
7,312,0.3433621203646774,0.691012061581589,right_foot
8,709,0.4363394015273355,0.3479438837413574,right_hand
9,761,0.3430268153378901,0.6862982642479318,left_foot
10,832,0.47677933911797626,0.5116739939790589,right_foot
11,886,0.4270619079617076,0.3257912376160602,left_hand
12,942,0.45733487261262523,0.524160224035206,left_foot
13,1040,0.40267137884573057,0.5603774512566416,left_foot
14,1173,0.5251928370883059,0.14288076829873816,right_hand
15,1201,0.4975237301677348,0.496940738339655,left_foot
16,1213,0.5701695108712233,0.44813788607549043,right_foot
17,1588,0.22660815610074467,0.9712124378755305,left_hand
