,frame,x,y,limb
0,0,0.6687121754702943,0.6892956697371875,left_hand
1,0,0.6796540759606738,0.6680599062573599,right_hand
2,0,0.8828032387025393,0.8291195470203118,right_foot
3,89,0.7417868903166951,0.8945018819656394,left_foot
4,145,0.6814783009780996,0.5072246925012437,right_hand
5,286,0.5475272172988747,0.7367217967347812,left_foot
6,321,0.7320969007249808,0.7637965848550842,right_foot
7,392,0.6332827879800839,0.7205158645662733,left_foot
8,496,0.5395836401719551,0.4702592063898758,left_hand
9,616,0.642381877673508,0.6838435873235583,right_foot
10,821,0.5644771960878565,0.32984591708889593,right_hand
11,964,0.6673350818232788,0.5470047229523178,right_foot
12,1037,0.6659121860743614,0.5188770029974821,left_foot
13,1111,0.7169078213058189,0.3905092404773929,right_foot
14,1239,0.5600182430908197,0.27242582651737995,left_hand
15,1363,0.7112053828807862,0.5488395473115161,left_foot
16,1500,0.6581648317417799,0.28535621276253476,right_hand
17,1923,0.6848772290769468,0.044193614135922085,right_hand
18,2101,0.5549699942225278,0.31359841706883307,left_foot
19,2271,0.6666542808912667,0.045311515816031475,left_hand
20,2893,0.8362757221779187,0.1332499325309122,right_foot
21,2962,0.758663164400135,0.2555197491632493,left_foot
