,frame,x,y,limb
0,7,0.8977830576894853,0.5444322900553966,right_hand
1,7,0.7605750016252605,0.7392811208342701,left_foot
2,9,0.811272065520341,0.5427585140577831,left_hand
3,9,0.8384663837235916,0.818178990344555,right_foot
4,163,0.9322239994636216,0.6603261228054756,right_foot
5,301,0.928753227044439,0.6854013491911451,left_foot
6,460,0.8793424676918821,0.44517254873684325,left_hand
7,518,0.8940170042253643,0.35957245973179325,right_hand
8,809,0.8862180669317115,0.5454536185022254,left_foot
9,868,0.8187299884728334,0.28167917626225836,left_hand
10,1010,0.8990307481863269,0.4482895156688073,right_foot
11,1408,0.7772916853982293,0.19554799146876473,left_hand
12,1446,0.7889359763062556,0.5193028222804619,left_foot
13,1691,0.8081475586957048,0.24188961220071103,right_hand
