,frame,x,y,limb
0,0,0.5811582830818066,0.8602462568561918,left_foot
1,0,0.8090700826431526,0.6708922146040776,right_foot
2,25,0.5175018118930965,0.556887400977866,right_hand
3,106,0.3805423482981623,0.5083759238895118,left_hand
4,204,0.5819346431458146,0.5347130893690004,right_foot
5,250,0.398857049877473,0.491807839556577,right_hand
6,258,0.6522704087965497,0.6843468926712327,left_foot
7,316,0.3336002985336411,0.4375333647874542,right_hand
8,508,0.19201746507563186,0.9120959101166687,left_foot
9,528,0.3124129941539608,0.910183086787732,right_foot
